grupa,pol,skola,prijemni
A,m,32.32,20
A,m,33.46,40
A,m,25.08,36
A,m,29.1,23
A,m,29.58,23
A,m,31,31
A,m,34.22,22
A,m,34.72,33
A,m,31.38,21
A,m,29.54,25
A,z,29.14,22
A,m,22.28,36
A,m,22.06,46
A,m,26.08,30
A,m,17.66,34
B,z,29.44,25
B,m,37.22,34
B,z,27.86,25
B,m,35.32,30
B,m,36.7,27
B,m,24.7,29
B,m,27.84,25
B,m,22.44,29
B,m,22.8,30
B,z,36.7,46
B,m,33.2,33
B,m,25.38,26
B,m,30.42,26
B,z,38.26,48
B,m,24.6,27
B,m,34.82,22
B,m,24.54,28
C,m,31.78,26
C,m,27,27
C,z,24.48,28
C,m,30.7,21
C,m,22.78,38
C,z,37.4,44
C,m,38.36,15
